rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,-0.447,5.000,5.444,1.190,4.254,0.781,6,"gen_lane[0].i_p2_pop_slice/src_a_q_reg[1]/C","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[3]/D","P2 popcount capture","FDCE=2;LUT3=2;LUT6=4"
2,-0.447,5.000,5.444,1.190,4.254,0.781,6,"gen_lane[0].i_p2_pop_slice/src_a_q_reg[1]/C","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT6=5"
3,-0.447,5.000,5.444,1.190,4.254,0.781,6,"gen_lane[0].i_p2_pop_slice/src_a_q_reg[1]/C","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[6]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT6=5"
4,-0.447,5.000,5.444,1.190,4.254,0.781,6,"gen_lane[1].i_p2_pop_slice/src_a_q_reg[1]/C","gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[3]/D","P2 popcount capture","FDCE=2;LUT3=2;LUT6=4"
5,-0.447,5.000,5.444,1.190,4.254,0.781,6,"gen_lane[1].i_p2_pop_slice/src_a_q_reg[1]/C","gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT6=5"
6,-0.447,5.000,5.444,1.190,4.254,0.781,6,"gen_lane[1].i_p2_pop_slice/src_a_q_reg[1]/C","gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[6]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT6=5"
7,-0.447,5.000,5.444,1.190,4.254,0.781,6,"gen_lane[2].i_p2_pop_slice/src_a_q_reg[1]/C","gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[3]/D","P2 popcount capture","FDCE=2;LUT3=2;LUT6=4"
8,-0.447,5.000,5.444,1.190,4.254,0.781,6,"gen_lane[2].i_p2_pop_slice/src_a_q_reg[1]/C","gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT6=5"
9,-0.447,5.000,5.444,1.190,4.254,0.781,6,"gen_lane[2].i_p2_pop_slice/src_a_q_reg[1]/C","gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[6]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT6=5"
10,-0.447,5.000,5.444,1.190,4.254,0.781,6,"gen_lane[3].i_p2_pop_slice/src_a_q_reg[1]/C","gen_lane[3].i_p2_pop_slice/popcount_q_o_reg[3]/D","P2 popcount capture","FDCE=2;LUT3=2;LUT6=4"
